12.12.2017 15.31.46	This log contains information about the import schema operation into project 'Staging' on computer 'GALACTICA' by user 'Cathrine'.
12.12.2017 15.31.47	Import of database schema has started.
12.12.2017 15.35.10	Gathering database credentials
12.12.2017 15.35.10	Gathering database options
12.12.2017 15.35.10	Gathering generic database scoped configuration option
12.12.2017 15.35.10	Gathering users
12.12.2017 15.35.10	Gathering roles
12.12.2017 15.35.10	Gathering application roles
12.12.2017 15.35.10	Gathering role memberships
12.12.2017 15.35.10	Gathering filegroups
12.12.2017 15.35.10	Gathering full-text catalogs
12.12.2017 15.35.10	Gathering assemblies
12.12.2017 15.35.10	Gathering certificates
12.12.2017 15.35.10	Gathering symmetric keys
12.12.2017 15.35.10	Gathering encrypted symmetric keys
12.12.2017 15.35.10	Gathering schemas
12.12.2017 15.35.10	Gathering XML schema collections
12.12.2017 15.35.10	Gathering user-defined data types
12.12.2017 15.35.10	Gathering user-defined types
12.12.2017 15.35.10	Gathering table types
12.12.2017 15.35.10	Gathering unique keys for table types
12.12.2017 15.35.10	Gathering primary keys for table types
12.12.2017 15.35.10	Gathering indexes for table types
12.12.2017 15.35.10	Gathering check constraints for table types
12.12.2017 15.35.10	Gathering default constraints for table types
12.12.2017 15.35.10	Gathering partition functions
12.12.2017 15.35.10	Gathering partition schemes
12.12.2017 15.35.10	Gathering functions
12.12.2017 15.35.10	Gathering encrypted functions
12.12.2017 15.35.10	Gathering aggregates
12.12.2017 15.35.10	Gathering procedures
12.12.2017 15.35.11	Gathering encrypted procedures
12.12.2017 15.35.11	Gathering tables
12.12.2017 15.35.11	Gathering primary keys
12.12.2017 15.35.11	Gathering unique constraints
12.12.2017 15.35.11	Gathering foreign keys
12.12.2017 15.35.11	Gathering default constraints
12.12.2017 15.35.11	Gathering check constraints
12.12.2017 15.35.11	Gathering views
12.12.2017 15.35.11	Gathering encrypted views
12.12.2017 15.35.11	Gathering indexes
12.12.2017 15.35.11	Gathering statistics
12.12.2017 15.35.11	Gathering full-text index stoplists
12.12.2017 15.35.11	Gathering search property lists
12.12.2017 15.35.11	Gathering search properties
12.12.2017 15.35.11	Gathering full-text indexes
12.12.2017 15.35.11	Gathering column store indexes
12.12.2017 15.35.11	Gathering spatial indexes
12.12.2017 15.35.11	Gathering XML indexes
12.12.2017 15.35.11	Gathering Selective XML indexes
12.12.2017 15.35.12	Gathering encrypted triggers
12.12.2017 15.35.12	Gathering triggers
12.12.2017 15.35.12	Gathering encrypted and clr ddl triggers
12.12.2017 15.35.12	Gathering ddl triggers
12.12.2017 15.35.12	Gathering synonyms
12.12.2017 15.35.12	Gathering defaults
12.12.2017 15.35.12	Gathering data constraint uddt bindings
12.12.2017 15.35.12	Gathering rules
12.12.2017 15.35.12	Gathering data constraint uddt bindings
12.12.2017 15.35.12	Gathering message types
12.12.2017 15.35.12	Gathering queues
12.12.2017 15.35.12	Gathering contracts
12.12.2017 15.35.12	Gathering services
12.12.2017 15.35.12	Gathering event notifications
12.12.2017 15.35.12	Gathering remote service bindings
12.12.2017 15.35.12	Gathering broker priorities
12.12.2017 15.35.12	Gathering signatures
12.12.2017 15.35.12	Gathering data compression options
12.12.2017 15.35.12	Gathering sequence types
12.12.2017 15.35.12	Gathering security policies
12.12.2017 15.35.12	Gather column encryption keys
12.12.2017 15.35.12	Gathering column master keys
12.12.2017 15.35.12	Gathering external data sources
12.12.2017 15.35.12	Gathering external tables
12.12.2017 15.35.12	Gathering extended properties
12.12.2017 15.35.20	Your permissions to see all objects in the server or database could not be verified.  The original error was:
The SELECT permission has not been granted on 'sys.sql_logins' for the 'master' database. You must be a member of the 'loginmanager' role to access this system view. 
Reverse Engineer will continue the import process, and logins will not be imported.
The reverse engineering operation will attempt to continue anyway, but the resulting model might be incomplete, malformed, or incorrect.
12.12.2017 15.35.20	Scanning project for duplicate elements
12.12.2017 15.35.21	Finished duplicate element processing
12.12.2017 15.35.21	Finished importing database.
12.12.2017 15.35.21	A summary of the import was saved to the following location: C:\Users\Cathrine\OneDrive\Repositories\ETL-DesignPatterns\ETL-DesignPatterns\Databases\Staging\Import Schema Logs\Staging_20171212023146.log
12.12.2017 15.35.21	Click Finish to continue...
